category	subject_prefix	predicate	object_prefix	count_star()
biolink:Association	APO	biolink:homologous_to	FBcv	1
biolink:Association	APO	biolink:homologous_to	FYPO	7
biolink:Association	APO	biolink:homologous_to	HP	2
biolink:Association	APO	biolink:homologous_to	MP	2
biolink:Association	APO	biolink:homologous_to	PHIPO	2
biolink:Association	APO	biolink:homologous_to	WBPhenotype	1
biolink:Association	DDPHENO	biolink:homologous_to	FBcv	7
biolink:Association	DDPHENO	biolink:homologous_to	FYPO	114
biolink:Association	DDPHENO	biolink:homologous_to	HP	5
biolink:Association	DDPHENO	biolink:homologous_to	MP	29
biolink:Association	DDPHENO	biolink:homologous_to	PHIPO	21
biolink:Association	DDPHENO	biolink:homologous_to	PLANP	2
biolink:Association	DDPHENO	biolink:homologous_to	WBPhenotype	21
biolink:Association	DDPHENO	biolink:homologous_to	XPO	10
biolink:Association	FBcv	biolink:homologous_to	APO	1
biolink:Association	FBcv	biolink:homologous_to	DDPHENO	7
biolink:Association	FBcv	biolink:homologous_to	FYPO	11
biolink:Association	FBcv	biolink:homologous_to	HP	7
biolink:Association	FBcv	biolink:homologous_to	MP	25
biolink:Association	FBcv	biolink:homologous_to	PHIPO	2
biolink:Association	FBcv	biolink:homologous_to	WBPhenotype	21
biolink:Association	FBcv	biolink:homologous_to	XPO	9
biolink:Association	FBcv	biolink:homologous_to	ZP	1
biolink:Association	FYPO	biolink:homologous_to	APO	7
biolink:Association	FYPO	biolink:homologous_to	DDPHENO	114
biolink:Association	FYPO	biolink:homologous_to	FBcv	11
biolink:Association	FYPO	biolink:homologous_to	HP	4
biolink:Association	FYPO	biolink:homologous_to	MGPO	1
biolink:Association	FYPO	biolink:homologous_to	MP	45
biolink:Association	FYPO	biolink:homologous_to	PHIPO	198
biolink:Association	FYPO	biolink:homologous_to	PLANP	3
biolink:Association	FYPO	biolink:homologous_to	WBPhenotype	35
biolink:Association	FYPO	biolink:homologous_to	XPO	21
